"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","","","1638","","test.TestConstructor","","test.TestConstructor","","TestCheckSectionTransitionsWorkingSauce[browser: yandex]",""
"passed","","","1868","","test.TestConstructor","","test.TestConstructor","","TestCheckSectionTransitionsWorkingFilling[browser: chrome]",""
"passed","","","2568","","test.TestEnterUser","","test.TestEnterUser","","TestEnterUserWithEnterAccountButton[email: Alex, password: test321test@mail.ru, browser: 123456]",""
"passed","","","1534","","test.TestConstructor","","test.TestConstructor","","TestCheckSectionTransitionsWorkingSauce[browser: chrome]",""
"passed","","","1840","","test.TestRegisterUser","","test.TestRegisterUser","","TestSuccessRegister[name: Alex, email: mail1783000628773@mail.ru, password: 123456, browser: yandex]",""
"passed","","","1878","","test.TestRegisterWrongPassword","","test.TestRegisterWrongPassword","","TestSuccessRegister[name: Vladimir, email: mail1783000632504@mail.ru, password: 12345, browser: chrome]",""
"passed","","","2744","","test.TestEnterUser","","test.TestEnterUser","","TestEnterUserWithRegisterForm[email: Alex, password: test321test@mail.ru, browser: 123456]",""
"passed","","","2544","","test.TestEnterUser","","test.TestEnterUser","","TestEnterUserWithRecoverPasswordForm[email: Alex, password: test321test@mail.ru, browser: 123456]",""
"passed","","","2678","","test.TestEnterUser","","test.TestEnterUser","","TestEnterUserWithRecoverPasswordForm[email: Vladimir, password: test333321test@mail.ru, browser: ffffffffffff]",""
"passed","","","1878","","test.TestRegisterWrongPassword","","test.TestRegisterWrongPassword","","TestSuccessRegister[name: Alex, email: mail1783000632504@mail.ru, password: 123, browser: yandex]",""
"passed","","","2703","","test.TestEnterUser","","test.TestEnterUser","","TestEnterUserWithRegisterForm[email: Vladimir, password: test333321test@mail.ru, browser: ffffffffffff]",""
"passed","","","1632","","test.TestConstructor","","test.TestConstructor","","TestCheckSectionTransitionsWorkingBuns[browser: chrome]",""
"passed","","","1884","","test.TestRegisterUser","","test.TestRegisterUser","","TestSuccessRegister[name: Vladimir, email: mail1783000628772@mail.ru, password: 123456, browser: chrome]",""
"passed","","","2615","","test.TestEnterUser","","test.TestEnterUser","","TestEnterUserWithEnterAccountButton[email: Vladimir, password: test333321test@mail.ru, browser: ffffffffffff]",""
"passed","","","1692","","test.TestConstructor","","test.TestConstructor","","TestCheckSectionTransitionsWorkingBuns[browser: yandex]",""
"passed","","","2696","","test.TestEnterUser","","test.TestEnterUser","","TestEnterUserWithPersonalAccountButton[email: Alex, password: test321test@mail.ru, browser: 123456]",""
"passed","","","2590","","test.TestEnterUser","","test.TestEnterUser","","TestEnterUserWithPersonalAccountButton[email: Vladimir, password: test333321test@mail.ru, browser: ffffffffffff]",""
"passed","","","1676","","test.TestConstructor","","test.TestConstructor","","TestCheckSectionTransitionsWorkingFilling[browser: yandex]",""
